OCR,T,P,c
511.66,33.12,0.84,5.17
511.83,33.08,0.84,5.17
511.86,33.05,0.84,5.16
512.11,33.01,0.84,5.16
512.28,32.97,0.84,5.15
512.47,32.94,0.84,5.15
512.52,32.91,0.84,5.15
512.62,32.88,0.84,5.15
512.78,32.85,0.84,5.14
512.95,32.82,0.84,5.14
513.11,32.79,0.84,5.14
513.13,32.76,0.84,5.14
513.26,32.74,0.83,5.13
513.38,32.71,0.83,5.13
513.5,32.68,0.83,5.13
513.6,32.66,0.83,5.13
513.73,32.64,0.83,5.13
513.87,32.61,0.83,5.13
513.97,32.59,0.83,5.13
514.06,32.57,0.83,5.13
514.15,32.54,0.83,5.13
514.26,32.52,0.83,5.13
514.4,32.5,0.83,5.13
514.49,32.48,0.83,5.13
514.58,32.46,0.83,5.13
514.67,32.44,0.83,5.13
514.76,32.42,0.83,5.13
514.87,32.4,0.83,5.13
514.92,32.38,0.83,5.13
514.99,32.37,0.83,5.13
515.08,32.35,0.83,5.13
515.15,32.34,0.83,5.13
515.22,32.32,0.83,5.13
515.29,32.31,0.83,5.13
515.37,32.29,0.83,5.13
515.43,32.28,0.83,5.13
515.49,32.27,0.83,5.13
515.55,32.26,0.83,5.13
515.6,32.24,0.83,5.13
515.66,32.23,0.83,5.13
515.73,32.22,0.83,5.13
515.75,32.2,0.83,5.13
515.8,32.19,0.83,5.12
515.87,32.18,0.83,5.12
515.93,32.17,0.83,5.12
515.97,32.16,0.83,5.12
516.02,32.15,0.83,5.12
516.07,32.14,0.83,5.12
516.11,32.13,0.82,5.12
516.16,32.12,0.83,5.12
516.2,32.11,0.82,5.12
516.26,32.1,0.82,5.12
516.32,32.09,0.82,5.12
516.36,32.08,0.82,5.12
516.4,32.07,0.82,5.12
516.42,32.06,0.82,5.12
516.45,32.05,0.82,5.12
516.49,32.04,0.82,5.12
516.53,32.03,0.82,5.12
516.58,32.03,0.82,5.12
516.63,32.02,0.82,5.12
516.64,32.01,0.82,5.12
516.67,32,0.82,5.12
516.7,32,0.82,5.12
516.73,31.99,0.82,5.12
516.79,31.98,0.82,5.12
516.81,31.97,0.82,5.12
516.84,31.97,0.82,5.12
516.87,31.96,0.82,5.12
516.89,31.96,0.82,5.12
516.92,31.95,0.82,5.12
516.95,31.94,0.82,5.12
516.98,31.94,0.82,5.12
517.01,31.93,0.82,5.12
517.04,31.92,0.82,5.12
517.06,31.92,0.82,5.12
517.09,31.91,0.82,5.12
517.11,31.91,0.82,5.12
517.13,31.9,0.82,5.11
517.15,31.9,0.82,5.11
517.2,31.89,0.82,5.12
517.22,31.89,0.82,5.12
517.24,31.88,0.82,5.12
517.26,31.88,0.82,5.12
517.28,31.87,0.82,5.12
517.3,31.87,0.82,5.12
517.32,31.86,0.82,5.12
517.35,31.86,0.82,5.11
517.37,31.85,0.82,5.11
517.39,31.85,0.82,5.12
517.41,31.85,0.82,5.12
517.43,31.84,0.82,5.12
517.45,31.84,0.82,5.12
517.46,31.84,0.82,5.12
517.47,31.83,0.82,5.12
517.49,31.83,0.82,5.12
517.51,31.83,0.82,5.12
517.52,31.82,0.82,5.12
517.54,31.82,0.82,5.12
517.56,31.82,0.82,5.12
517.57,31.82,0.82,5.12
517.58,31.81,0.82,5.12
517.59,31.81,0.82,5.12
517.6,31.81,0.82,5.12
517.61,31.8,0.82,5.12
517.62,31.8,0.82,5.12
517.63,31.8,0.82,5.12
517.64,31.8,0.82,5.12
517.66,31.8,0.82,5.12
517.67,31.79,0.82,5.12
517.68,31.79,0.82,5.12
517.69,31.79,0.82,5.12
517.71,31.79,0.82,5.12
517.72,31.78,0.82,5.12
619.51,31.77,0.82,12
681.33,31.77,0.82,12
687.48,31.77,0.82,12
845.96,31.77,0.82,12
849.49,31.77,0.82,12
852.67,31.77,0.82,12
961.27,31.76,0.82,12
978.67,31.76,0.82,12
984.69,31.76,0.82,12
1127.85,31.76,0.82,12
1130.94,31.76,0.82,12
1132.37,31.76,0.82,12
1340.25,31.76,0.82,12
1343.09,31.75,0.82,12
1345.57,31.75,0.82,12
1347.82,31.75,0.82,12
1349.05,31.75,0.82,12
